Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Chandelier","Sia","1000 Forms Of Fear","Bestest","Playlist","USRC11400498","4VrWlk8IQxevMvERoX08iC"
"Bring Me To Life","Evanescence","Fallen","Bestest","Playlist","USWU30200093","0COqiPhxzoWICwFCS4eZcp"
"Smooth Operator - Single Version","Sade","The Best of Sade","Bestest","Playlist","GBBBM8400016","1Hv1VTm8zeOeybub15mA2R"
"Cheap Thrills","Sia","This Is Acting","Bestest","Playlist","USRC11502935","27SdWb2rFzO6GWiYDBTD9j"
"Love You Like A Love Song","Selena Gomez & The Scene","When The Sun Goes Down","Bestest","Playlist","USHR11132668","0laYHRpNTS6i8FXdupHkJ4"
"Roar","Katy Perry","PRISM (Deluxe)","Bestest","Playlist","USUM71308669","6F5c58TMEs1byxUstkzVeM"
"THAT'S WHAT IT TAKES","NEFFEX","SOMETHING YOU COULD NEVER OWN","Bestest","Playlist","TCAFR2182498","5gN1RboOeOtAJf8euyX60d"
"Billie Jean","Michael Jackson","Thriller","Bestest","Playlist","USSM19902991","7J1uxwnxfQLu4APicE5Rnj"
"Heaven Is A Place On Earth","Belinda Carlisle","Heaven Is A Place On Earth","Bestest","Playlist","GBAAA8700010","4vTzVPLcZW8CY4Uelmj0ha"
"Zombie","The Cranberries","Stars: The Best Of The Cranberries 1992-2002","Bestest","Playlist","USIR29400443","1RSf4PIZomN5xGb2Arat9X"
"We Found Love","Rihanna","Talk That Talk","Bestest","Playlist","USUM71115507","0U10zFw4GlBacOy9VDGfGL"
"I'm Good (Blue)","David Guetta","I'm Good (Blue)","Bestest","Playlist","UKWLG2200055","4uUG5RXrOk84mYEfFvj3cK"
"FRIENDS","Marshmello","Speak Your Mind (Deluxe)","Bestest","Playlist","GBAHS1800025","6IQCmIGaOxzjNNcwScETVD"
"Love Me Like You Do","Ellie Goulding","Fifty Shades Freed (Original Motion Picture Soundtrack)","Bestest","Playlist","GBUM71706324","0Cy7wt6IlRfBPHXXjmZbcP"
"It's a Heartache","Bonnie Tyler","It's a Heartache","Bestest","Playlist","GBAJE7700003","5MRMGCDzkWCJgLG8Pf27ts"
"Wrecking Ball","Miley Cyrus","Bangerz (Deluxe Version)","Bestest","Playlist","USRC11301214","2vwlzO0Qp8kfEtzTsCXfyE"
"Someone You Loved","Lewis Capaldi","Breach","Bestest","Playlist","DEUM71807062","2TIlqbIneP0ZY1O0EzYLlc"
"Dirty Diana - 2012 Remaster","Michael Jackson","Bad (Remastered)","Bestest","Playlist","USSM11204988","0AcgKF7kbSoCkh3n7vlHwK"
"Heads Will Roll","Yeah Yeah Yeahs","Halloween Songs 2023","Bestest","Playlist","GBUM70900924","34AuTiblAOlZvzwAupivk8"
"Radioactive","Imagine Dragons","Night Visions","Bestest","Playlist","USUM71201074","62yJjFtgkhUrXktIoSjgP2"
"THE LONELIEST","Måneskin","RUSH! (ARE U COMING?)","Bestest","Playlist","ITB002200745","0U6CYXC7GssMwemCicM7nI"
"Alarm","Anne-Marie","Speak Your Mind (Deluxe)","Bestest","Playlist","GBAHS1600223","572xshmOviSGH70oPYMCZV"
"Gone, Gone, Gone","Phillip Phillips","The World From The Side Of The Moon","Bestest","Playlist","QMTM61200406","56sxN1yKg1dgOZXBcAHkJG"
"(I Just) Died In Your Arms","Cutting Crew","Broadcast","Bestest","Playlist","GBAAA8600046","4ByEFOBuLXpCqvO1kw8Wdm"
"Summertime Sadness","Lana Del Rey","Born To Die","Bestest","Playlist","GBUM71111565","61ZGyX8OgIlxJZkZn64IjO"
"La leçon particulière - Bande originale du film ""La leçon particulière""","Francis Lai","La leçon particulière (Bande originale du film)","Bestest","Playlist","CH1956980330","2oYnUjl0HT8lwWPnO6nwL3"
"Alabama","Adèle Castillon","Plaisir Risque Dépendance","Bestest","Playlist","FRDWM2200440","0vJxo7x6jnFKbtFgtihMvJ"
"The Business","Tiësto","DRIVE","Bestest","Playlist","CYA112000624","57uNXnf4ciHYP4HktbIbzC"
"This Is The Life","Amy Macdonald","This Is The Life (Sped Up Version)","Bestest","Playlist","GBUM70607840","5S4Qf0HLNHT2qSubZWz7NU"
"Sharks","Imagine Dragons","Mercury - Acts 1 & 2","Bestest","Playlist","USUM72205464","7sA2SKTo1QbTSSYn5YvJC4"
"Who's Laughing Now","Ava Max","Heaven & Hell","Bestest","Playlist","USAT22001106","1Pmp486RrLRkaEkE3HFHXP"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta","Listen","Bestest","Playlist","GB28K1400058","285HeuLxsngjFn4GGegGNm"
"Travel to Romantis","Ace of Base","Beautiful Life - The Singles Box","Bestest","Playlist","SEVJH0803304","216HtgDsbqIOqhmyRzWgad"
"Tragedy","Bee Gees","Spirits Having Flown","Bestest","Playlist","NLF057990026","6UXXeFqMBGiqjkzQzkMT3E"
"Can't Take My Eyes Off of You - Radio Edit","Gloria Gaynor","Can't Take My Eyes Off of You","Bestest","Playlist","ITQ030000085","6PgwqtSYBDezyo8AwyWDbv"
"Call on Me","Bebe Rexha","Call on Me","Bestest","Playlist","USWB12300789","6NAeCHRuzqURCsUpYTQbjK"
